HouseID,Location,Area_sqft,Bedrooms,Bathrooms,HouseAge_years,Garage,GardenArea_sqft,DistanceToCity_km,Price_Lakh
3194,Sylhet,3001,6,5,34,1,0.0,8.8,248.9
3195,Sylhet,1988,7,2,30,0,0.0,16.2,153.5
3196,Chittagong,1284,3,3,5,0,0.0,28.6,91.1
3197,Chittagong,4021,5,4,34,0,1632.4,19.0,303.4
3198,Sylhet,408,2,2,7,0,1141.2,14.5,86.7
3199,Rajshahi,2307,7,5,30,0,1993.8,11.1,213.5
3200,Dhaka,1618,5,4,29,0,1750.8,,187.0
3201,Chittagong,1822,5,5,37,0,27.8,3.1,172.9
3202,Chittagong,2815,5,3,27,0,0.0,1.7,253.3
3203,Rajshahi,1775,3,4,8,0,1665.8,12.2,147.5
3204,Chittagong,1749,6,4,18,1,764.0,6.6,224.0
3205,Dhaka,3247,4,1,16,0,0.0,15.3,338.3
3206,Rajshahi,2420,1,2,17,1,850.2,20.1,109.9
3207,Sylhet,2290,7,4,34,1,1202.3,13.3,235.0
3208,Sylhet,2373,1,1,23,0,702.8,27.8,98.8
3209,Sylhet,2124,3,3,33,1,0.0,17.5,163.0
3210,Chittagong,2675,1,2,12,1,1927.2,10.9,268.2
3211,Chittagong,574,1,1,17,0,,27.0,17.2
3212,Dhaka,1399,6,1,39,1,543.5,24.1,149.3
3213,Sylhet,1011,5,3,19,0,0.0,10.3,122.3
3214,Sylhet,1870,6,1,21,1,379.2,19.3,175.1
3215,Dhaka,3656,3,1,40,0,0.0,15.1,278.7
3216,Dhaka,3102,2,1,26,1,26.8,17.7,262.6
3217,Sylhet,3728,4,1,2,0,0.0,19.2,247.9
3218,Chittagong,1955,1,1,16,1,0.0,34.5,88.1
3219,Chittagong,2373,7,3,5,1,0.0,21.2,252.0
3220,Dhaka,1347,6,3,35,0,0.0,4.6,216.1
3221,Sylhet,2258,4,5,31,1,1371.3,31.0,177.0
3222,Rajshahi,3600,2,2,38,1,1644.6,10.1,209.0
3223,Dhaka,1443,5,5,31,1,319.4,10.1,238.7
3224,Dhaka,3588,1,2,29,1,336.5,19.2,315.6
3225,Rajshahi,818,1,2,18,0,1541.6,4.3,55.0
3226,Sylhet,2910,5,1,22,0,0.0,1.9,208.0
3227,Dhaka,1244,5,3,7,1,0.0,7.1,242.4
3228,Rajshahi,1481,7,2,38,0,0.0,29.9,50.4
3229,Sylhet,2397,2,1,36,0,0.0,6.5,94.5
3230,Rajshahi,2993,7,4,14,1,0.0,,241.3
3231,Dhaka,4023,5,3,31,0,1645.3,3.3,504.3
3232,Chittagong,864,2,1,31,0,0.0,4.1,40.7
3233,Chittagong,1829,4,3,22,0,0.0,33.9,101.6
3234,Dhaka,3919,3,4,6,0,1280.1,5.4,475.1
3235,Sylhet,1873,2,1,19,0,657.0,31.0,85.6
3236,Dhaka,681,5,2,13,0,0.0,19.4,126.2
3237,Dhaka,512,3,1,12,0,666.4,2.4,106.3
3238,Rajshahi,4089,2,3,36,0,0.0,1.3,185.1
3239,Rajshahi,2807,5,5,7,0,0.0,19.6,163.1
3240,Chittagong,2388,6,5,39,0,488.6,27.6,155.2
3241,Dhaka,2851,2,1,6,1,0.0,32.0,229.4
3242,Chittagong,1508,2,1,24,1,1321.8,31.6,96.5
3243,Sylhet,3852,5,1,40,1,0.0,11.3,253.6
3244,Rajshahi,4092,6,3,39,1,0.0,14.1,201.3
3245,Dhaka,4329,4,1,16,1,0.0,34.1,407.3
3246,Sylhet,3859,6,5,28,0,896.1,9.8,297.9
3247,Chittagong,945,1,1,33,0,0.0,29.9,15
3248,Dhaka,1139,4,3,20,0,0.0,28.1,115.2
3249,Chittagong,2513,2,1,38,0,0.0,12.7,136.8
3250,Rajshahi,1407,3,4,22,0,464.3,33.2,67.0
3251,Rajshahi,2475,7,5,19,0,0.0,27.7,169.5
3252,Sylhet,1982,4,3,28,1,0.0,20.6,153.7
3253,Dhaka,3567,5,5,18,1,966.3,10.0,489.8
3254,Chittagong,4068,1,1,22,1,878.4,3.0,306.8
3255,Rajshahi,2618,4,1,23,1,1352.5,,182.1
3256,Sylhet,417,4,5,1,0,1954.4,22.6,124.2
3257,Rajshahi,698,5,2,8,0,1539.2,12.3,78.8
3258,Chittagong,3051,2,1,19,0,0.0,8.8,185.6
3259,Rajshahi,3474,1,1,29,0,0.0,4.4,142.5
3260,Sylhet,3945,7,2,21,1,0.0,17.0,283.3
3261,Chittagong,768,4,2,33,1,802.1,30.6,49.2
3262,Chittagong,3622,3,4,7,1,1885.4,,342.3
3263,Rajshahi,1651,4,4,25,0,1119.6,23.2,109.0
3264,Dhaka,3931,4,2,27,0,341.8,5.1,425.3
3265,Sylhet,2984,5,1,21,0,665.8,20.6,203.2
3266,Chittagong,4467,2,3,14,1,0.0,14.6,311.1
3267,Chittagong,2065,2,2,35,0,,13.9,137.4
3268,Sylhet,1093,3,1,14,0,1208.4,30.8,70.4
3269,Rajshahi,4081,2,1,10,0,196.1,2.5,212.2
3270,Chittagong,449,1,1,1,0,1836.4,14.1,80.5
3271,Rajshahi,1870,2,2,28,1,0.0,0.8,93.8
3272,Chittagong,533,4,1,7,1,1603.1,4.2,147.3
3273,Rajshahi,1557,7,5,27,1,1596.3,30.9,149.6
3274,Chittagong,1437,2,2,3,0,0.0,26.2,51.4
3275,Rajshahi,1932,4,1,22,0,0.0,9.1,104.7
3276,Sylhet,2768,1,2,20,0,0.0,3.8,171.9
3277,Sylhet,3740,4,5,10,0,0.0,23.4,281.8
3278,Rajshahi,595,6,2,37,1,0.0,4.1,88.6
3279,Chittagong,3625,1,2,4,0,0.0,5.3,239.0
3280,Sylhet,1220,4,2,21,0,0.0,32.2,44.8
3281,Chittagong,2574,4,5,19,0,0.0,5.9,220.6
3282,Rajshahi,1848,3,4,18,1,0.0,2.7,128.5
3283,Chittagong,3567,4,2,20,1,1534.9,5.8,304.5
3284,Rajshahi,4430,2,3,8,1,759.2,20.7,247.1
3285,Chittagong,523,7,2,16,0,977.8,2.0,152.7
3286,Sylhet,4234,2,2,32,1,405.7,6.2,267.4
3287,Dhaka,605,6,4,12,0,0.0,29.0,122.6
3288,Chittagong,4443,2,2,24,1,0.0,26.1,240.8
3289,Chittagong,2352,7,4,11,0,0.0,27.0,206.1
3290,Chittagong,2196,5,5,15,1,386.5,11.2,240.4
3291,Sylhet,1439,2,3,35,1,0.0,18.2,80.3
3292,Chittagong,3132,5,1,11,0,1401.1,33.7,219.3
3293,Rajshahi,2156,1,1,1,0,885.9,7.2,144.5
3294,Chittagong,855,2,3,14,0,,4.5,63.3
3295,Rajshahi,2276,2,3,22,1,794.4,16.4,126.5
3296,Rajshahi,2577,4,1,28,0,0.0,15.8,118.8
3297,Dhaka,1664,3,4,31,1,0.0,22.3,146.6
3298,Chittagong,3578,6,2,38,0,0.0,7.9,278.7
3299,Sylhet,4231,1,2,22,1,0.0,25.4,204.7
3300,Chittagong,2990,4,5,0,0,0.0,28.9,211.9
3301,Sylhet,2717,4,1,8,1,0.0,,215.4
3302,Dhaka,1122,1,1,2,1,304.3,34.5,67.3
3303,Chittagong,2447,6,2,28,0,1388.1,1.1,247.8
3304,Chittagong,1952,3,4,1,1,0.0,3.5,180.5
3305,Chittagong,1011,4,1,31,0,1321.8,2.0,115.4
3306,Dhaka,2561,2,2,28,0,614.7,20.2,235.8
3307,Dhaka,3954,2,3,39,1,1003.0,14.8,410.0
3308,Dhaka,3788,6,4,13,1,644.5,21.6,479.5
3309,Rajshahi,1523,3,1,23,0,0.0,21.0,62.5
3310,Chittagong,504,1,1,22,1,832.7,0.9,65.6
3311,Rajshahi,2994,2,3,39,1,1603.8,4.1,195.3
3312,Sylhet,2921,6,1,16,0,0.0,1.2,234.4
3313,Chittagong,683,7,1,30,1,0.0,21.3,75.5
3314,Dhaka,4294,2,1,7,0,0.0,0.7,421.2
3315,Sylhet,2270,2,1,4,0,243.4,14.7,126.0
3316,Chittagong,1255,1,2,16,0,451.8,26.2,56.6
3317,Chittagong,642,5,2,31,1,611.2,7.0,116.0
3318,Sylhet,3946,1,1,25,1,840.3,21.8,244.3
3319,Sylhet,1071,1,2,26,1,0.0,9.8,54.5
3320,Dhaka,585,6,1,16,1,636.1,14.5,156.2
3321,Rajshahi,1647,4,1,3,1,1054.5,32.5,107.3
3322,Rajshahi,780,7,5,22,0,113.2,32.7,92.8
3323,Rajshahi,2997,3,1,0,1,0.0,15.9,158.7
3324,Dhaka,1584,3,3,16,0,343.3,8.9,205.1
3325,Rajshahi,2731,3,3,40,0,612.3,22.3,124.5
3326,Dhaka,1979,5,2,27,0,1694.4,29.2,236.2
3327,Rajshahi,4333,7,3,6,1,0.0,31.3,242.9
3328,Rajshahi,4018,7,2,32,0,0.0,3.3,249.8
3329,Dhaka,461,2,3,5,0,1301.8,15.8,101.8
3330,Sylhet,956,7,1,6,1,1776.2,1.2,199.4
3331,Dhaka,770,3,2,1,0,1179.8,32.1,73.7
3332,Dhaka,718,5,1,2,1,1422.8,18.0,205.3
3333,Chittagong,2106,4,4,27,1,562.1,26.9,164.4
3334,Sylhet,4192,7,1,13,0,0.0,11.1,292.0
3335,Dhaka,3190,1,2,33,1,0.0,10.6,272.7
3336,Sylhet,1357,2,2,36,0,0.0,12.6,53.1
3337,Rajshahi,1947,2,3,37,1,1399.6,34.2,88.5
3338,Sylhet,4339,3,4,9,0,0.0,27.2,261.9
3339,Rajshahi,1205,2,3,8,1,1323.9,28.1,87.3
3340,Chittagong,1895,6,2,40,0,1115.5,14.9,157.5
3341,Dhaka,3430,7,4,32,0,1414.1,6.6,479.5
3342,Rajshahi,435,1,1,8,1,1043.5,,51.1
3343,Dhaka,2439,7,2,24,1,0.0,22.0,269.2
3344,Dhaka,3020,7,3,25,1,952.1,9.3,438.0
3345,Chittagong,1355,5,4,24,1,1573.8,15.3,189.2
3346,Sylhet,3748,5,1,26,1,0.0,26.8,233.1
3347,Sylhet,1433,6,1,20,0,389.3,11.0,132.1
3348,Rajshahi,630,4,1,12,1,0.0,8.4,68.1
3349,Rajshahi,459,1,1,21,1,0.0,1.3,37.1
3350,Chittagong,1492,5,3,30,0,1607.4,5.1,200.2
3351,Rajshahi,3213,2,3,12,0,505.5,2.4,163.0
3352,Chittagong,3815,2,2,11,0,1315.5,4.5,303.3
3353,Sylhet,1920,1,2,7,0,387.3,3.9,130.7
3354,Sylhet,1528,5,4,24,1,0.0,2.5,178.5
3355,Chittagong,2866,4,3,15,1,0.0,,180.5
3356,Dhaka,3274,1,2,20,1,1563.7,15.7,356.7
3357,Dhaka,2170,4,2,1,1,0.0,32.5,239.7
3358,Rajshahi,4342,3,2,8,1,94.4,4.9,213.3
3359,Sylhet,2293,3,3,27,0,1596.6,32.1,126.4
3360,Dhaka,497,3,4,21,0,1853.6,9.0,167.2
3361,Chittagong,3167,1,2,14,0,0.0,32.2,143.8
3362,Dhaka,4012,6,3,14,0,617.5,12.6,492.6
3363,Sylhet,3748,6,3,22,0,1044.0,6.2,294.5
3364,Sylhet,4001,3,4,18,1,1710.7,34.6,288.5
3365,Sylhet,1989,3,3,5,0,829.0,12.5,149.2
3366,Sylhet,722,4,2,6,1,1128.1,10.0,103.1
3367,Sylhet,1006,5,5,4,0,1176.2,33.0,122.3
3368,Sylhet,4062,7,2,12,1,1057.1,1.0,384.3
3369,Dhaka,3632,4,4,9,1,880.0,27.0,431.5
3370,Chittagong,1852,4,3,7,0,0.0,6.2,201.9
3371,Dhaka,2579,4,5,26,0,434.2,33.3,219.8
3372,Dhaka,3954,3,1,2,0,0.0,23.4,364.9
3373,Chittagong,403,2,2,9,0,0.0,24.4,15
3374,Dhaka,1276,1,1,12,1,187.1,22.3,80.5
3375,Chittagong,3245,4,5,27,1,1257.7,21.3,281.8
3376,Chittagong,1610,7,5,6,1,0.0,,175.8
3377,Rajshahi,2258,6,3,21,0,0.0,28.5,108.4
3378,Sylhet,4145,4,2,3,0,1230.5,28.5,275.9
3379,Chittagong,772,2,2,7,0,795.6,,112.7
3380,Dhaka,573,1,1,9,1,1099.7,25.6,29.2
3381,Sylhet,2785,5,4,31,0,0.0,20.9,160.3
3382,Sylhet,887,6,3,3,1,178.8,32.6,92.7
3383,Chittagong,666,2,1,19,1,1567.6,2.2,110.8
3384,Chittagong,2799,6,2,5,1,,28.5,229.3
3385,Chittagong,1679,5,4,40,1,0.0,22.0,126.5
3386,Dhaka,3625,7,2,40,0,1329.2,30.0,364.6
3387,Chittagong,2959,3,1,26,1,916.4,11.2,232.1
3388,Sylhet,4243,4,2,3,1,0.0,14.1,279.4
3389,Sylhet,3719,4,1,33,0,984.6,34.7,202.5
3390,Chittagong,2814,4,1,0,1,,13.0,240.7
3391,Dhaka,2201,5,3,28,1,1266.9,,357.7
3392,Rajshahi,3233,6,5,36,1,18.7,27.2,201.4
3393,Sylhet,786,2,1,1,1,1423.1,27.4,59.1
3394,Dhaka,1094,3,4,20,0,1045.1,1.2,214.8
3395,Chittagong,3129,7,2,7,1,1384.3,34.9,296.9
3396,Sylhet,2860,2,1,29,1,0.0,2.0,180.6
3397,Rajshahi,1071,5,1,6,1,1649.1,17.0,118.2
3398,Rajshahi,3112,2,2,13,1,38.8,1.8,166.6
3399,Rajshahi,3225,2,2,39,1,0.0,17.4,138.2
3400,Rajshahi,4428,1,1,37,0,0.0,26.3,194.3
3401,Sylhet,2457,2,3,29,0,1655.9,8.3,186.7
3402,Rajshahi,1398,6,2,40,1,741.5,25.3,88.0
3403,Sylhet,2810,2,3,34,1,252.4,22.2,156.2
3404,Chittagong,3137,4,4,40,0,1779.8,13.7,240.8
3405,Chittagong,2695,3,1,17,1,1562.0,5.5,236.4
3406,Rajshahi,1397,2,1,19,0,0.0,29.3,20.2
3407,Rajshahi,1357,5,1,9,1,0.0,6.7,121.1
3408,Dhaka,2076,5,2,30,1,787.7,6.7,318.7
3409,Dhaka,4391,3,2,22,0,1171.9,,403.3
3410,Chittagong,1437,7,1,8,1,1284.6,12.5,205.7
3411,Sylhet,3789,3,3,24,0,501.7,12.0,236.8
3412,Dhaka,3452,5,3,10,1,0.0,14.7,430.5
3413,Dhaka,772,7,5,26,1,601.6,34.4,171.4
3414,Sylhet,4416,1,1,36,0,1284.3,12.8,251.9
3415,Rajshahi,1332,7,2,38,0,1439.4,19.0,107.1
3416,Sylhet,892,1,2,12,0,234.5,32.3,34.6
3417,Chittagong,3803,5,4,1,1,0.0,,303.0
3418,Dhaka,4478,4,2,39,0,173.6,6.4,462.8
3419,Dhaka,4353,5,5,39,1,761.2,33.7,454.2
3420,Rajshahi,1921,6,1,22,1,723.7,14.8,130.7
3421,Sylhet,3418,2,1,36,0,405.6,34.2,149.5
3422,Chittagong,3664,6,5,32,0,0.0,24.4,257.9
3423,Chittagong,4427,7,1,38,1,1027.8,10.8,359.4
3424,Rajshahi,3516,7,5,0,0,0.0,30.0,190.0
3425,Rajshahi,3138,3,2,24,0,627.1,25.5,138.5
3426,Sylhet,1496,3,4,4,1,0.0,8.8,138.6
3427,Dhaka,1331,3,3,35,1,1731.1,7.3,252.5
3428,Chittagong,3412,2,1,4,1,0.0,23.8,242.7
3429,Chittagong,2930,2,2,28,1,0.0,,155.9
3430,Dhaka,2789,2,3,0,1,1059.2,29.2,325.7
3431,Chittagong,1941,5,1,37,0,939.4,29.9,103.9
3432,Rajshahi,545,5,3,20,1,0.0,18.5,60.7
